kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,omset_pct_dalam_skala,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online,is_urban,umur_usaha
Depok,Perdagangan,Mikro_Lv2,9304572,0.8609,5,2,3,1,1,0,2,1,1,4
Gamping,Perdagangan,Mikro_Lv1,3844769,0.7433,4,2,2,1,1,0,2,1,1,1
Mlati,Jasa,Mikro_Lv1,2000942,0.3335,2,1,1,0,0,0,0,0,1,3
Ngaglik,Agribisnis,Mikro_Lv1,3916664,0.7593,4,2,2,1,1,0,2,1,1,2
Depok,Jasa,Mikro_Lv1,2370928,0.4158,4,2,2,1,0,0,1,0,1,4
Pakem,Perdagangan,Mikro_Lv1,1771741,0.2826,4,2,2,1,1,0,2,1,0,4
Seyegan,Jasa,Mikro_Lv1,3113740,0.5808,1,0,1,1,1,0,2,1,0,5
Ngaglik,Agribisnis,Mikro_Lv1,4983302,0.9963,2,1,1,0,0,0,0,0,1,1
Gamping,Jasa,Mikro_Lv1,4102279,0.8005,2,1,1,0,0,0,0,0,1,1
Seyegan,Agribisnis,Mikro_Lv1,622409,0.0272,4,2,2,0,0,0,0,0,0,1
Turi,Jasa,Mikro_Lv1,1713475,0.2697,1,0,1,0,0,0,0,0,0,3
Godean,Jasa,Mikro_Lv1,2623091,0.4718,2,1,1,1,1,0,2,1,0,2
Seyegan,Agribisnis,Mikro_Lv1,4822252,0.9605,1,0,1,0,0,0,0,0,0,3
Pakem,Jasa,Mikro_Lv1,1996176,0.3325,2,1,1,0,0,0,0,0,0,4
Ngaglik,Perdagangan,Mikro_Lv1,1313168,0.1807,2,1,1,0,0,0,0,0,1,5
Depok,Perdagangan,Mikro_Lv1,3829462,0.7399,3,2,1,0,0,0,0,0,1,1
Ngemplak,Jasa,Mikro_Lv1,2415631,0.4257,4,2,2,0,0,0,0,0,0,4
Minggir,Perdagangan,Mikro_Lv1,4836787,0.9637,4,2,2,0,0,0,0,0,0,1
Pakem,Jasa,Mikro_Lv1,1325816,0.1835,2,1,1,0,0,0,0,0,0,2
Prambanan,Agribisnis,Mikro_Lv1,3641259,0.6981,1,1,0,0,0,0,0,0,0,3
Ngaglik,Perdagangan,Mikro_Lv1,1407317,0.2016,4,2,2,1,1,0,2,1,1,4
Gamping,Jasa,Mikro_Lv1,2600021,0.4667,3,2,1,1,1,0,2,1,1,1
Moyudan,Perdagangan,Mikro_Lv1,1517026,0.226,1,0,1,0,0,0,0,0,0,4
Cangkringan,Perdagangan,Mikro_Lv1,3938618,0.7641,2,1,1,0,0,0,0,0,0,1
Minggir,Jasa,Mikro_Lv1,4272962,0.8384,4,2,2,0,0,0,0,0,0,1
Sleman,Jasa,Mikro_Lv2,5131373,0.0263,5,3,2,0,0,0,0,0,0,5
Depok,Jasa,Mikro_Lv1,1189944,0.1533,2,1,1,1,1,0,2,1,1,2
Mlati,Jasa,Mikro_Lv1,998863,0.1109,3,1,2,0,0,0,0,0,1,2
Turi,Jasa,Mikro_Lv1,4428083,0.8729,1,0,1,0,0,0,0,0,0,4
Moyudan,Perdagangan,Mikro_Lv3,14422201,0.2948,7,3,4,0,0,0,0,0,0,12
Godean,Perdagangan,Mikro_Lv1,4697355,0.9327,4,2,2,0,0,0,0,0,0,4
Godean,Perdagangan,Mikro_Lv1,3467197,0.6594,3,2,1,1,0,0,1,0,0,3
Gamping,Perdagangan,Mikro_Lv2,7841992,0.5684,4,2,2,1,1,0,2,1,1,3
Turi,Jasa,Mikro_Lv1,4199391,0.8221,3,2,1,1,0,0,1,0,0,5
Depok,Agribisnis,Mikro_Lv1,4100333,0.8001,4,2,2,1,1,0,2,1,1,1
Gamping,Perdagangan,Mikro_Lv2,9844723,0.9689,2,1,1,0,0,0,0,0,1,3
Ngaglik,Perdagangan,Mikro_Lv1,4332065,0.8516,1,1,0,1,0,0,1,0,1,3
Sleman,Perdagangan,Mikro_Lv1,991072,0.1091,1,1,0,1,0,0,1,0,0,3
Godean,Agribisnis,Mikro_Lv1,3148790,0.5886,1,1,0,0,0,0,0,0,0,5
Ngemplak,Perdagangan,Mikro_Lv1,3706420,0.7125,1,0,1,0,0,0,0,0,0,2
Kalasan,Jasa,Mikro_Lv1,570640,0.0157,3,2,1,1,0,0,1,0,1,5
Depok,Jasa,Mikro_Lv1,4563960,0.9031,2,1,1,1,1,0,2,1,1,3
Godean,Perdagangan,Mikro_Lv1,925523,0.0946,3,2,1,1,0,0,1,0,0,5
Pakem,Jasa,Mikro_Lv1,1701193,0.2669,2,1,1,0,0,0,0,0,0,2
Mlati,Jasa,Mikro_Lv1,4908249,0.9796,4,2,2,1,0,0,1,0,1,5
Prambanan,Jasa,Mikro_Lv1,1786643,0.2859,1,1,0,0,0,0,0,0,0,1
Ngaglik,Jasa,Mikro_Lv1,526790,0.006,3,1,2,1,1,1,3,1,1,3
Godean,Perdagangan,Mikro_Lv1,2887312,0.5305,1,1,0,1,0,0,1,0,0,5
Pakem,Perdagangan,Mikro_Lv1,2034837,0.3411,1,1,0,1,1,0,2,1,0,5
Mlati,Perdagangan,Mikro_Lv4,30967106,0.2387,9,4,5,0,0,0,0,0,1,14
Berbah,Jasa,Mikro_Lv1,3167867,0.5929,4,2,2,1,0,0,1,0,0,2
Berbah,Jasa,Mikro_Lv1,2679996,0.4844,1,1,0,0,0,0,0,0,0,5
Kalasan,Agribisnis,Mikro_Lv2,8562737,0.7125,3,1,2,0,0,0,0,0,1,8
Depok,Jasa,Mikro_Lv1,4963418,0.9919,3,2,1,0,0,0,0,0,1,1
Seyegan,Perdagangan,Mikro_Lv1,2222320,0.3827,1,1,0,0,0,0,0,0,0,3
Seyegan,Jasa,Mikro_Lv1,4477266,0.8838,1,1,0,0,0,0,0,0,0,1
