kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online
Depok,Perdagangan,Mikro_Lv2,9304572,5,2,3,1,1,0,2,1
Kalasan,Agribisnis,Mikro_Lv1,4981505,4,2,2,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,1307371,1,0,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4260029,2,1,1,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,2586644,1,0,1,0,0,0,0,0
Pakem,Jasa,Mikro_Lv1,68148,2,1,1,0,0,0,0,0
Godean,Agribisnis,Mikro_Lv1,4798669,1,0,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,271836,3,2,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,6584398,6,3,3,1,1,0,2,1
Seyegan,Jasa,Mikro_Lv1,2613740,1,0,1,1,1,0,2,1
Depok,Agribisnis,Mikro_Lv1,1737095,3,2,1,0,0,0,0,0
Turi,Perdagangan,Mikro_Lv1,1843400,4,2,2,1,0,0,1,0
Ngemplak,Perdagangan,Mikro_Lv1,2121690,3,2,1,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,122409,4,2,2,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,3872998,1,1,0,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,3057213,1,0,1,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,542335,2,1,1,0,0,0,0,0
Turi,Perdagangan,Mikro_Lv1,2235000,4,2,2,1,1,0,2,1
Berbah,Jasa,Mikro_Lv1,1384250,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3360011,2,1,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv5,83779713,6,3,3,1,1,0,2,1
Ngaglik,Jasa,Mikro_Lv1,681669,4,2,2,1,0,0,1,0
Seyegan,Jasa,Mikro_Lv1,4300385,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,2148815,1,1,0,1,1,0,2,1
Sleman,Agribisnis,Mikro_Lv1,4596200,1,1,0,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,374705,3,2,1,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,4341747,4,2,2,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,4892680,1,1,0,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,668234,1,0,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,4327576,1,0,1,1,0,0,1,0
Depok,Jasa,Mikro_Lv4,35524227,3,2,1,1,1,0,2,1
Ngaglik,Jasa,Mikro_Lv1,4301754,3,2,1,1,0,0,1,0
Cangkringan,Perdagangan,Mikro_Lv1,3438618,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,4924207,3,2,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv4,28444084,8,4,4,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv2,9842611,5,3,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,2610910,2,1,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,1105534,3,1,2,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,3295990,2,1,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,3928083,1,0,1,1,1,0,2,1
Gamping,Jasa,Mikro_Lv1,649150,2,1,1,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,1438533,3,2,1,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,971525,1,0,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,3379569,4,2,2,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,3177945,1,0,1,0,0,0,0,0
