kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online
Depok,Perdagangan,Mikro_Lv2,9304572,5,2,3,1,1,0,2,1
Kalasan,Agribisnis,Mikro_Lv1,2266891,2,1,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,1807371,1,0,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4760029,2,1,1,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,3086644,1,0,1,0,0,0,0,0
Pakem,Jasa,Mikro_Lv1,568148,2,1,1,0,0,0,0,0
Godean,Agribisnis,Mikro_Lv1,2370928,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,771836,3,2,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,6584398,6,3,3,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,2267640,4,2,2,0,0,0,0,0
Mlati,Agribisnis,Mikro_Lv1,3765879,1,0,1,1,0,0,1,0
Ngaglik,Perdagangan,Mikro_Lv1,2731785,3,2,1,0,0,0,0,0
Tempel,Agribisnis,Mikro_Lv1,2370230,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,2448260,3,2,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,622409,4,2,2,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,4372998,1,1,0,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,3557213,1,0,1,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,1042335,2,1,1,0,0,0,0,0
Turi,Perdagangan,Mikro_Lv1,2735000,4,2,2,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,4922880,3,1,2,1,1,0,2,1
Kalasan,Agribisnis,Mikro_Lv1,539353,4,2,2,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,1313168,2,1,1,1,0,0,1,0
Turi,Jasa,Mikro_Lv1,2722809,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2241093,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,1904104,4,2,2,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,1410681,3,2,1,1,1,0,2,1
Depok,Perdagangan,Mikro_Lv1,4112600,1,0,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,2704664,4,2,2,1,1,0,2,1
Turi,Jasa,Mikro_Lv1,4614639,3,2,1,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,1291971,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,8083153,6,3,3,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,4455488,2,1,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,4801754,3,2,1,1,0,0,1,0
Cangkringan,Perdagangan,Mikro_Lv1,3938618,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,4272962,4,2,2,1,0,0,1,0
Pakem,Jasa,Mikro_Lv2,7509079,5,3,2,0,0,0,0,0
Pakem,Jasa,Mikro_Lv1,1926388,4,2,2,1,1,0,2,1
Pakem,Jasa,Mikro_Lv1,1605534,3,1,2,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,3795990,2,1,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,4428083,1,0,1,0,0,0,0,0
Gamping,Agribisnis,Mikro_Lv1,3677825,2,1,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,4979125,2,1,1,1,1,0,2,1
Prambanan,Perdagangan,Mikro_Lv1,751451,4,2,2,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,1760386,3,1,2,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,1923286,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,1303328,3,1,2,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,4199391,3,2,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,4898165,1,1,0,1,1,0,2,1
Cangkringan,Agribisnis,Mikro_Lv1,1669748,3,2,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,2141249,4,2,2,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,4043555,4,2,2,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,3549851,1,1,0,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,2555723,1,0,1,1,1,0,2,1
Ngaglik,Jasa,Mikro_Lv1,3853597,2,1,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,1031831,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,1662928,3,2,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,4755780,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,2507635,4,2,2,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,4598502,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,1539458,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,1701193,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2276203,1,1,0,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,2636233,1,1,0,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,1786643,1,1,0,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv1,4942987,2,1,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4387857,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,2887312,1,1,0,1,0,0,1,0
Gamping,Agribisnis,Mikro_Lv2,7225300,6,4,2,0,0,0,0,0
Seyegan,Agribisnis,Mikro_Lv1,1358158,1,0,1,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,3818230,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,660775,2,1,1,0,0,0,0,0
Mlati,Agribisnis,Mikro_Lv1,1291267,4,2,2,1,0,0,1,0
