kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,omset_pct_dalam_skala,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online
Depok,Perdagangan,Mikro_Lv2,9304572,0.8609,5,2,3,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,1291743,0.1759,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,4030409,0.7845,4,2,2,1,0,0,1,0
Prambanan,Agribisnis,Mikro_Lv1,1028178,0.1174,3,1,2,0,0,0,0,0
Pakem,Jasa,Mikro_Lv1,568148,0.0151,2,1,1,1,0,0,1,0
Turi,Perdagangan,Mikro_Lv1,2805413,0.5123,2,1,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv2,6046797,0.2094,6,3,3,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3113740,0.5808,1,0,1,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,2252126,0.3894,3,1,2,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv2,5996107,0.1992,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,3491650,0.6648,1,1,0,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,2850770,0.5224,3,2,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,3844014,0.7431,3,1,2,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,4527419,0.895,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv2,7907360,0.5815,1,0,1,1,0,0,1,0
Prambanan,Jasa,Mikro_Lv1,3612754,0.6917,2,1,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,539353,0.0087,4,2,2,1,0,0,1,1
Cangkringan,Agribisnis,Mikro_Lv1,769536,0.0599,1,0,1,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv1,2706903,0.4904,3,1,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,2159066,0.3687,2,1,1,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,4836787,0.9637,4,2,2,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,2356926,0.4127,2,1,1,1,1,0,2,1
Prambanan,Perdagangan,Mikro_Lv1,2972189,0.5494,4,2,2,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,1168234,0.1485,1,0,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,3583153,0.6851,4,2,2,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,628391,0.0285,3,2,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,616381,0.0259,2,1,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,4272962,0.8384,4,2,2,0,0,0,0,0
Pakem,Jasa,Mikro_Lv2,7509079,0.5018,5,3,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,3110910,0.5802,2,1,1,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv3,21616410,0.7744,3,2,1,1,1,0,2,1
Sleman,Perdagangan,Mikro_Lv1,4542787,0.8984,1,0,1,1,1,1,3,1
Tempel,Jasa,Mikro_Lv1,4683839,0.9297,3,2,1,0,0,0,0,0
Tempel,Agribisnis,Mikro_Lv1,2781230,0.5069,2,1,1,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv2,5971525,0.1943,5,2,3,1,1,0,2,1
Ngaglik,Jasa,Mikro_Lv1,1923286,0.3163,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,1303328,0.1785,3,1,2,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,2186293,0.3747,1,1,0,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,2248014,0.3884,1,0,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv2,9844723,0.9689,2,1,1,0,0,0,0,0
Ngemplak,Agribisnis,Mikro_Lv1,4332065,0.8516,1,1,0,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,4535851,0.8969,3,2,1,1,0,0,1,0
Seyegan,Jasa,Mikro_Lv1,3476242,0.6614,2,1,1,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,3422097,0.6494,1,1,0,1,1,0,2,1
Kalasan,Jasa,Mikro_Lv1,1662928,0.2584,3,2,1,1,0,0,1,1
Depok,Perdagangan,Mikro_Lv1,3831869,0.7404,1,1,0,0,0,0,0,0
Mlati,Agribisnis,Mikro_Lv1,4598502,0.9108,4,2,2,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,2309891,0.4022,1,1,0,1,0,0,1,0
Berbah,Jasa,Mikro_Lv1,1033636,0.1186,3,2,1,0,0,0,0,0
Ngemplak,Agribisnis,Mikro_Lv1,2636233,0.4747,1,1,0,1,0,0,1,0
Godean,Jasa,Mikro_Lv3,24837568,0.9892,7,4,3,1,1,0,2,1
Depok,Jasa,Mikro_Lv2,6879490,0.3759,5,2,3,1,1,1,3,1
